"101";"101";"sites/default/files/pictures/978-3-85787-687-5.jpg";"Lenos, LP 87";"2002";"978-3-85787-687-3";"9.95";"279"
"102";"102";"sites/default/files/pictures/978-3-85787-326-4.jpg";"Lenos, LP 88";"2002";"978-3-85787-688-2";"9,95";"270"
"103";"103";;"Trotzdem";"1998";"978-3-931786-05-6";"14.00";"185"
"104";"104";;"Edition Hentrich";"2002";"978-3-933471-26-5";"20.00";"220"
"105";"105";"sites/default/files/pictures/978-3-89771-200-8.jpg";"Unrast";"2000";"978-3-89771-200-3";"13.00";"196"
"587";"587";"sites/zuendbuch.de/files/pictures/";"Nautilus";"2009";"978-3-89401-594-7";"16,90";"220"
"108";"108";"sites/default/files/pictures/978-3-85869-050-3.jpg";"Rotpunkt";"1996";"978-3-85869-050-0";"17.00";"319"
"109";"109";"sites/default/files/pictures/978-3-85869-122-4.jpg";"Rotpunkt";"1995";"978-3-85869-122-4";"19.00";"426"
"490";"490";;"LIT";"2008";"978-3-8258-1219-5";"19,90";"192"
"111";"111";;"Psychosozial";"2004";"978-3-89806-931-1";"22.90";"253"
"488";"488";;"Trotzdem";"2005";"978-3-931786-40-3";"12,00";"160"
"113";"113";;"Edition Die Schnecke";"1993";"978-3-929589-00-1";"29.00";"544"
"115";"115";;"Karin Kramer";;"978-3-87956-095-1";"15.50";"406"
"116";"116";;"Karin Kramer";"1980";"978-3-87956-111-7";"15.50";"371"
"117";"117";;"Karin Kramer";;;"46.50";
"118";"118";;"Jeetzel";"1995";"978-3-928117-05-X";"10.00";"146"
"119";"119";"sites/default/files/pictures/978-3-89965-029-8.jpg";"VSA";"2003";"978-3-89965-029-7";"14.80";"206"
"120";"120";"sites/default/files/pictures/978-3-608-93433-2.jpg";"Klett-Cotta";"1998";"978-3-608-93433-5";"19.00";"251"
"121";"121";"sites/default/files/pictures/978-3-86153-159-3.jpg";"Links, Ch";"1998";"978-3-86153-159-3";"5.00";"283"
"122";"122";"sites/default/files/pictures/978-3-7296-0313-2.jpg";"Zytglogge";"1989";"978-3-7296-0313-4";"17.50";"352"
"123";"123";"sites/default/files/pictures/978-3-86099-234-1.jpg";"Brandes & Apsel";"2003";"978-3-86099-234-0";"19.00";"215"
"124";"124";;"Kunstmann";"2005";"978-3-88897-390-2";"19.90";"315"
"125";"125";"sites/default/files/pictures/978-3-89533-122-8.jpg";"Die Werkstatt";"1995";"978-3-89533-122-0";"15.20";"240"
"126";"126";;"AG SPAK";"1992";"978-3-923126-74-3";"10.00";"192"
"127";"127";;"Unrast";"2002";"978-3-89771-416-7";"14.00";"156"
"128";"128";"sites/default/files/pictures/978-3-89533-186-4.jpg";"Die Werkstastt";"1997";"978-3-89533-186-2";"10.20";"285"
"416";"416";;"Meinhardt";"1998";"978-3-933325-05-1";"10.12";"172"
"417";"417";;"Trotzdem";;"978-3-922209-37-9";"10.00";"132"
"363";"363";"sites/default/files/pictures/978-3-89771-904-0.jpg";"Unrast";"2001";;"16.00";"396"
"131";"131";"sites/default/files/pictures/978-3-89566-153-8.jpg";"pala";"2001";"978-3-89566-153-8";"12.80";"160"
"132";"132";"sites/default/files/pictures/978-3-89566-163-5.jpg";"pala";"2001";"978-3-89566-163-5";"11.80";"141"
"133";"133";"sites/default/files/pictures/978-3-89566-200-3.jpg";"pala";"2004";"978-3-89566-200-3";"9.90";"160"
"134";"134";;"Gandhi-Informations-Zentrum";"1996";"978-3-930093-08-1";"7.80";"96"
"135";"135";;"Packpapier";;;"1.60";"30"
"137";"137";;"Packpapier";"1981";;"7.20";"208"
"138";"138";;"Packpapier";;;"8.00";"272"
"188";"188";"sites/default/files/pictures/978-3-89566-165-1.jpg";"pala";"2004";"978-3-89566-165-1";"8.80";"160 Seiten"
"215";"215";"sites/default/files/pictures/978-3-88713-039-1.jpg";"Weber & Zucht";;"978-3-88713-039-8";"9.00";"142"
"141";"141";;"Karin Kramer";"1981";"978-3-87956-132-X";"10.50";"235"
"142";"142";;"Karin Kramer";"1984";"978-3-87956-164-8";"8.00";"111"
